模型,数据集,指标,子集,数量,得分,类别
kimi-k3,ceval,mean_acc,modern_chinese_history,5,0.8000,Humanities
kimi-k3,ceval,mean_acc,ideological_and_moral_cultivation,5,1.0000,Humanities
kimi-k3,ceval,mean_acc,logic,5,1.0000,Humanities
kimi-k3,ceval,mean_acc,law,5,1.0000,Humanities
kimi-k3,ceval,mean_acc,chinese_language_and_literature,5,0.8000,Humanities
kimi-k3,ceval,mean_acc,art_studies,5,1.0000,Humanities
kimi-k3,ceval,mean_acc,professional_tour_guide,5,1.0000,Humanities
kimi-k3,ceval,mean_acc,legal_professional,5,0.8000,Humanities
kimi-k3,ceval,mean_acc,high_school_chinese,5,0.8000,Humanities
kimi-k3,ceval,mean_acc,high_school_history,5,1.0000,Humanities
kimi-k3,ceval,mean_acc,middle_school_history,5,1.0000,Humanities
kimi-k3,ceval,mean_acc,civil_servant,5,1.0000,Other
kimi-k3,ceval,mean_acc,sports_science,5,1.0000,Other
kimi-k3,ceval,mean_acc,plant_protection,5,1.0000,Other
kimi-k3,ceval,mean_acc,basic_medicine,5,1.0000,Other
kimi-k3,ceval,mean_acc,clinical_medicine,5,1.0000,Other
kimi-k3,ceval,mean_acc,urban_and_rural_planner,5,1.0000,Other
kimi-k3,ceval,mean_acc,accountant,5,1.0000,Other
kimi-k3,ceval,mean_acc,fire_engineer,5,1.0000,Other
kimi-k3,ceval,mean_acc,environmental_impact_assessment_engineer,5,1.0000,Other
kimi-k3,ceval,mean_acc,tax_accountant,5,1.0000,Other
kimi-k3,ceval,mean_acc,physician,5,1.0000,Other
kimi-k3,ceval,mean_acc,computer_network,5,1.0000,STEM
kimi-k3,ceval,mean_acc,operating_system,5,0.8000,STEM
kimi-k3,ceval,mean_acc,computer_architecture,5,1.0000,STEM
kimi-k3,ceval,mean_acc,college_programming,5,1.0000,STEM
kimi-k3,ceval,mean_acc,college_physics,5,1.0000,STEM
kimi-k3,ceval,mean_acc,college_chemistry,5,1.0000,STEM
kimi-k3,ceval,mean_acc,advanced_mathematics,5,1.0000,STEM
kimi-k3,ceval,mean_acc,probability_and_statistics,5,0.8000,STEM
kimi-k3,ceval,mean_acc,discrete_mathematics,5,0.8000,STEM
kimi-k3,ceval,mean_acc,electrical_engineer,5,1.0000,STEM
kimi-k3,ceval,mean_acc,metrology_engineer,5,1.0000,STEM
kimi-k3,ceval,mean_acc,high_school_mathematics,5,1.0000,STEM
kimi-k3,ceval,mean_acc,high_school_physics,5,1.0000,STEM
kimi-k3,ceval,mean_acc,high_school_chemistry,5,1.0000,STEM
kimi-k3,ceval,mean_acc,high_school_biology,5,1.0000,STEM
kimi-k3,ceval,mean_acc,middle_school_mathematics,5,1.0000,STEM
kimi-k3,ceval,mean_acc,middle_school_biology,5,0.8000,STEM
kimi-k3,ceval,mean_acc,middle_school_physics,5,1.0000,STEM
kimi-k3,ceval,mean_acc,middle_school_chemistry,5,1.0000,STEM
kimi-k3,ceval,mean_acc,veterinary_medicine,5,1.0000,STEM
kimi-k3,ceval,mean_acc,college_economics,5,0.8000,Social Science
kimi-k3,ceval,mean_acc,business_administration,5,0.8000,Social Science
kimi-k3,ceval,mean_acc,marxism,5,1.0000,Social Science
